[ 2025-12-16 23:41:11,104 ] 21 root - INFO - Initiate the data ingestion
[ 2025-12-16 23:41:20,268 ] 73 root - INFO - Performed train test split on the dataframe
[ 2025-12-16 23:41:20,268 ] 75 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-16 23:41:20,269 ] 83 root - INFO - Exporting train and test file path.
[ 2025-12-16 23:41:20,481 ] 23 root - INFO - Data Initiation Completed
[ 2025-12-16 23:41:20,495 ] 27 root - INFO - Initiate the data Validation
[ 2025-12-16 23:41:20,600 ] 32 root - INFO - Required number of columns:2
[ 2025-12-16 23:41:20,600 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-16 23:41:20,600 ] 32 root - INFO - Required number of columns:2
[ 2025-12-16 23:41:20,600 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-16 23:41:20,949 ] 29 root - INFO - data Validation Completed
[ 2025-12-16 23:41:20,950 ] 32 root - INFO - data Transformation started
[ 2025-12-16 23:41:20,950 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-16 23:41:20,950 ] 65 root - INFO - Starting data transformation
[ 2025-12-16 23:41:21,151 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-16 23:41:21,151 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-16 23:41:21,181 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-16 23:41:21,187 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-16 23:41:21,187 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-16 23:41:21,194 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-16 23:41:21,197 ] 36 root - INFO - data Transformation completed
[ 2025-12-16 23:41:21,197 ] 37 root - INFO - Model Training sstared
