[ 2025-12-16 16:24:59,439 ] 21 root - INFO - Initiate the data ingestion
[ 2025-12-16 16:25:33,751 ] 73 root - INFO - Performed train test split on the dataframe
[ 2025-12-16 16:25:33,752 ] 75 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-16 16:25:33,752 ] 83 root - INFO - Exporting train and test file path.
[ 2025-12-16 16:25:33,919 ] 23 root - INFO - Data Initiation Completed
[ 2025-12-16 16:25:33,925 ] 27 root - INFO - Initiate the data Validation
[ 2025-12-16 16:25:34,013 ] 32 root - INFO - Required number of columns:2
[ 2025-12-16 16:25:34,013 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-16 16:25:34,013 ] 32 root - INFO - Required number of columns:2
[ 2025-12-16 16:25:34,013 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-16 16:25:34,366 ] 29 root - INFO - data Validation Completed
[ 2025-12-16 16:25:34,367 ] 32 root - INFO - data Transformation started
[ 2025-12-16 16:25:34,368 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-16 16:25:34,368 ] 65 root - INFO - Starting data transformation
[ 2025-12-16 16:25:34,471 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-16 16:25:34,471 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-16 16:25:34,501 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-16 16:25:34,510 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-16 16:25:34,510 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-16 16:25:34,517 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-16 16:25:34,520 ] 36 root - INFO - data Transformation completed
[ 2025-12-16 16:25:34,520 ] 37 root - INFO - Model Training sstared
