[ 2025-12-14 23:28:52,523 ] 17 root - INFO - Initiate the data ingestion
[ 2025-12-14 23:29:00,810 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-14 23:29:00,810 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-14 23:29:00,811 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-14 23:29:00,943 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-14 23:29:00,944 ] 19 root - INFO - Data Initiation Completed
[ 2025-12-14 23:29:00,957 ] 23 root - INFO - Initiate the data Validation
[ 2025-12-14 23:29:01,028 ] 32 root - INFO - Required number of columns:2
[ 2025-12-14 23:29:01,028 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-14 23:29:01,029 ] 32 root - INFO - Required number of columns:2
[ 2025-12-14 23:29:01,029 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-14 23:29:01,300 ] 25 root - INFO - data Validation Completed
