[ 2025-12-15 01:18:13,962 ] 18 root - INFO - Initiate the data ingestion
[ 2025-12-15 01:18:20,897 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-15 01:18:20,897 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-15 01:18:20,897 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-15 01:18:20,978 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-15 01:18:20,978 ] 20 root - INFO - Data Initiation Completed
[ 2025-12-15 01:18:20,985 ] 24 root - INFO - Initiate the data Validation
[ 2025-12-15 01:18:21,025 ] 32 root - INFO - Required number of columns:2
[ 2025-12-15 01:18:21,025 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-15 01:18:21,026 ] 32 root - INFO - Required number of columns:2
[ 2025-12-15 01:18:21,026 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-15 01:18:21,271 ] 26 root - INFO - data Validation Completed
[ 2025-12-15 01:18:21,272 ] 29 root - INFO - data Transformation started
[ 2025-12-15 01:18:21,272 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-15 01:18:21,272 ] 65 root - INFO - Starting data transformation
[ 2025-12-15 01:18:21,341 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-15 01:18:21,341 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-15 01:18:21,372 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-15 01:18:21,375 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-15 01:18:21,375 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-15 01:18:21,385 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-15 01:18:21,387 ] 33 root - INFO - data Transformation completed
