[ 2025-12-16 03:05:35,825 ] 21 root - INFO - Initiate the data ingestion
[ 2025-12-16 03:05:44,605 ] 73 root - INFO - Performed train test split on the dataframe
[ 2025-12-16 03:05:44,605 ] 75 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-16 03:05:44,606 ] 83 root - INFO - Exporting train and test file path.
[ 2025-12-16 03:05:44,799 ] 23 root - INFO - Data Initiation Completed
[ 2025-12-16 03:05:44,806 ] 27 root - INFO - Initiate the data Validation
[ 2025-12-16 03:05:44,913 ] 32 root - INFO - Required number of columns:2
[ 2025-12-16 03:05:44,913 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-16 03:05:44,914 ] 32 root - INFO - Required number of columns:2
[ 2025-12-16 03:05:44,914 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-16 03:05:45,396 ] 29 root - INFO - data Validation Completed
[ 2025-12-16 03:05:45,397 ] 32 root - INFO - data Transformation started
[ 2025-12-16 03:05:45,397 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-16 03:05:45,397 ] 65 root - INFO - Starting data transformation
[ 2025-12-16 03:05:45,522 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-16 03:05:45,522 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-16 03:05:45,558 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-16 03:05:45,563 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-16 03:05:45,563 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-16 03:05:45,576 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-16 03:05:45,580 ] 36 root - INFO - data Transformation completed
[ 2025-12-16 03:05:45,580 ] 37 root - INFO - Model Training sstared
[ 2025-12-16 03:20:02,488 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-16 03:20:02,490 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-16 03:20:02,491 ] 111 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\12_16_2025_03_05_33\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912604192978025, precision_score=0.986922844784227, recall_score=0.9956362898315405), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9856420626895854, precision_score=0.9806841046277666, recall_score=0.990650406504065))
[ 2025-12-16 03:20:02,510 ] 42 root - INFO - Model Training artifact created
