[ 2025-12-15 01:13:23,983 ] 18 root - INFO - Initiate the data ingestion
[ 2025-12-15 01:13:30,199 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-15 01:13:30,199 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-15 01:13:30,200 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-15 01:13:30,326 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-15 01:13:30,327 ] 20 root - INFO - Data Initiation Completed
[ 2025-12-15 01:13:30,339 ] 24 root - INFO - Initiate the data Validation
[ 2025-12-15 01:13:30,408 ] 32 root - INFO - Required number of columns:2
[ 2025-12-15 01:13:30,409 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-15 01:13:30,409 ] 32 root - INFO - Required number of columns:2
[ 2025-12-15 01:13:30,409 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-15 01:13:30,795 ] 26 root - INFO - data Validation Completed
